Date,Close,Open,Day High,Day Low
04/01/2018,"6,820.69","6,939.58","7,037.27","6,472.40"
03/31/2018,"6,939.33","6,844.64","7,192.90","6,808.62"
03/30/2018,"6,845.45","7,097.07","7,256.42","6,609.93"
03/29/2018,"7,095.21","7,948.01","7,967.76","6,933.27"
03/28/2018,"7,952.73","7,809.09","8,112.64","7,765.65"
03/27/2018,"7,806.59","8,160.93","8,212.01","7,779.77"
03/26/2018,"8,154.41","8,472.70","8,504.79","7,882.90"
03/25/2018,"8,469.07","8,540.93","8,681.78","8,405.02"
03/24/2018,"8,535.73","8,934.96","9,003.33","8,525.89"
03/23/2018,"8,925.13","8,713.39","8,925.20","8,325.29"
03/22/2018,"8,718.25","8,907.38","9,090.43","8,503.95"
03/21/2018,"8,914.98","9,047.50","9,174.92","8,788.59"
03/20/2018,"8,982.61","8,600.80","9,026.83","8,341.61"
03/19/2018,"8,603.09","8,208.87","8,690.31","8,148.21"
03/18/2018,"8,212.49","7,897.69","8,249.37","7,364.68"
03/17/2018,"7,897.87","8,275.87","8,346.22","7,780.67"
03/16/2018,"8,315.36","8,265.66","8,585.03","7,956.05"
03/15/2018,"8,267.19","8,200.84","8,402.08","7,712.96"
03/14/2018,"8,206.11","9,149.49","9,345.35","7,977.13"
03/13/2018,"9,151.54","9,136.19","9,469.32","8,874.78"
03/12/2018,"9,127.54","9,522.79","9,897.69","8,821.69"
03/11/2018,"9,519.91","8,793.80","9,694.41","8,527.18"
03/10/2018,"8,786.69","9,260.38","9,498.16","8,744.75"
03/09/2018,"9,262.83","9,322.06","9,407.51","8,411.97"
03/08/2018,"9,318.44","9,917.79","9,928.75","9,151.39"
03/07/2018,"9,920.03","10,731.07","11,664.51","9,520.86"
03/06/2018,"10,727.70","11,433.33","11,664.51","10,593.29"
03/05/2018,"11,509.98","11,483.97","11,666.98","10,681.84"
03/04/2018,"11,493.78","11,434.43","11,510.76","10,681.84"
03/03/2018,"11,434.68","11,035.84","11,504.51","10,681.84"
03/02/2018,"11,033.39","10,915.91","11,170.60","10,681.84"
03/01/2018,"10,920.07","10,332.49","11,062.93","10,330.80"
02/28/2018,"10,331.98","10,590.36","11,051.63","10,304.76"
02/27/2018,"10,621.97","10,317.55","10,868.41","10,152.43"
02/26/2018,"10,314.85","9,599.07","10,445.44","9,411.20"
02/25/2018,"9,589.52","9,700.02","9,861.37","9,331.99"
02/24/2018,"9,701.94","10,158.39","10,519.92","9,402.13"
02/23/2018,"10,168.44","9,846.49","10,409.58","9,608.78"
02/22/2018,"9,847.56","10,459.68","10,934.46","9,761.05"
02/21/2018,"10,457.39","11,242.83","11,272.08","10,241.45"
02/20/2018,"11,224.14","11,175.96","11,783.26","11,143.50"
02/19/2018,"11,172.94","10,420.67","11,252.83","10,344.87"
02/18/2018,"10,409.34","11,097.15","11,288.01","10,171.71"
02/17/2018,"11,084.37","10,175.74","11,112.12","10,081.59"
02/16/2018,"10,179.24","10,033.97","10,285.59","9,729.95"
02/15/2018,"10,077.32","9,476.63","10,214.52","9,366.96"
02/14/2018,"9,476.15","8,535.24","9,499.07","8,534.22"
02/13/2018,"8,536.08","8,897.70","8,925.43","8,388.68"
02/12/2018,"8,891.35","8,076.65","8,978.65","8,071.94"
02/11/2018,"8,072.38","8,564.31","8,563.39","7,861.86"
02/10/2018,"8,563.40","8,685.43","9,070.22","8,179.51"
02/09/2018,"8,691.22","8,252.80","8,729.09","7,782.55"
02/08/2018,"8,263.49","7,583.05","8,637.15","7,577.19"
02/07/2018,"7,549.06","7,697.98","8,572.42","7,215.31"
02/06/2018,"7,706.97","7,057.37","7,926.90","5,946.10"
02/05/2018,"6,902.35","8,265.50","8,286.22","6,600.73"
